,semiangle_cutoff,defocus,energy,max_iter,step_size,identical_slices_iter,slice_thicknesses,num_slices,NMSE
71,12.4,196.0,55000.0,13.0,0.45,169.0,11.3,51.0,0.5445331931114197
72,26.2,17.0,162000.0,19.0,0.18,74.0,5.0,89.0,0.5176780819892883
73,8.0,187.0,80000.0,8.0,0.74,432.0,42.2,95.0,1.0000001192092896
74,13.9,83.0,265000.0,17.0,0.19,98.0,38.4,48.0,0.4699644148349762
75,24.8,10.0,80000.0,18.0,0.48,159.0,9.7,39.0,0.6239804029464722
76,2.7,169.0,298000.0,17.0,0.7,12.0,12.0,91.0,0.841793417930603
77,21.3,189.0,129000.0,16.0,0.87,86.0,28.6,19.0,0.7752700448036195
78,6.1,172.0,151000.0,16.0,0.49,17.0,37.1,73.0,0.7706237435340881
79,21.0,59.0,27000.0,6.0,0.85,100.0,1.6,67.0,0.6781907677650452
80,8.0,20.0,109000.0,12.0,0.38,31.0,25.7,64.0,0.6289663314819336
81,8.7,162.0,159000.0,2.0,0.24,20.0,48.1,34.0,0.9681500196456909
82,9.4,126.0,71000.0,15.0,0.64,295.0,18.8,69.0,0.5513141751289368
83,23.4,56.0,177000.0,3.0,0.47,345.0,6.1,40.0,0.723625898361206
84,7.4,173.0,65000.0,12.0,0.15,16.0,37.1,48.0,0.6401059627532959
85,6.0,142.0,284000.0,10.0,0.46,27.0,32.2,93.0,0.9231836199760437
86,13.1,4.0,199000.0,18.0,0.42,496.0,33.5,69.0,0.5877377986907959
87,15.8,2.0,103000.0,19.0,0.37,328.0,18.4,100.0,0.7358164191246033
88,24.5,46.0,138000.0,6.0,0.66,140.0,22.8,69.0,0.6232244372367859
89,1.1,143.0,188000.0,10.0,0.97,23.0,48.1,65.0,1.0
90,5.1,32.0,174000.0,20.0,0.24,201.0,16.7,80.0,0.7322874069213867
91,23.6,137.0,17000.0,17.0,0.57,372.0,12.0,50.0,0.5282199382781982
92,1.9,162.0,260000.0,17.0,0.9,311.0,23.4,43.0,0.88779616355896
93,13.2,152.0,5000.0,19.0,0.21,497.0,19.2,19.0,0.46137523651123047
94,2.0,170.0,216000.0,4.0,0.63,450.0,23.6,36.0,0.8782858848571777
95,19.0,99.0,103000.0,11.0,0.38,300.0,48.2,6.0,0.3935269117355346
96,1.1,182.0,176000.0,15.0,0.73,496.0,4.3,3.0,0.4695242047309875
97,19.0,118.0,286000.0,10.0,0.36,463.0,10.2,15.0,0.40409785509109497
98,25.5,12.0,48000.0,16.0,0.62,401.0,10.5,11.0,0.5911082625389099
99,20.3,57.0,284000.0,10.0,0.93,278.0,40.8,81.0,0.9969042539596559
100,21.0,77.0,69000.0,6.0,0.35,81.0,32.1,32.0,0.7140752673149109
101,12.9,193.0,20000.0,19.0,0.39,415.0,10.8,17.0,0.46987441182136536
102,6.9,44.0,292000.0,7.0,0.37,418.0,31.7,14.0,0.7329645156860352
103,17.9,118.0,232000.0,11.0,0.46,235.0,6.3,87.0,0.6433729529380798
104,1.2,70.0,88000.0,3.0,0.41,264.0,34.3,41.0,0.8458624482154845
105,6.5,80.0,247000.0,17.0,0.52,335.0,44.3,20.0,0.6756591796875
106,1.9,73.0,266000.0,10.0,0.32,326.0,32.1,29.0,0.8939813971519469
107,22.8,31.0,298000.0,5.0,0.9,464.0,3.0,14.0,0.5714994668960571
108,22.7,91.0,121000.0,6.0,0.41,3.0,17.1,91.0,0.5886831879615784
109,12.5,120.0,284000.0,1.0,0.45,344.0,2.3,2.0,1.0382643938064575
110,21.1,130.0,154000.0,8.0,0.28,83.0,17.8,16.0,0.4407125413417816
111,1.5,163.0,127000.0,14.0,0.15,80.0,6.9,4.0,0.6092875599861145
112,23.7,39.0,222000.0,4.0,0.25,358.0,22.0,2.0,0.4532135426998139
113,23.8,180.0,266000.0,9.0,0.28,89.0,49.1,65.0,0.4702259600162506
114,27.3,134.0,298000.0,12.0,0.83,449.0,47.8,21.0,0.7833364605903625
