Ti,Nb,Al,Ge,Co,Au,Pd,Ni,Zn,Ga,Mo,Cu,Pt,Sn,Cr,Mn,Mg,Si,Fe,Ru,Rh,Hf,Ta,W,Re,Ir,Bi,Ef,Mag,AHC,condu,AHA
0,0,5,0,19,0,0,9.5,8.5,0,0,0,0,0,0,0,0,0,43.5,0,0,0,0,0,0,14.5,0,0.006890795,1.4612,0.00093368,0.013523422,0.069041694
0,0,5.5,0,18.5,0,0,10,7.5,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,15.5,0,0.006829035,1.4441,0.00074524,0.013232623,0.056318388
0,0,7.5,0,16,0,0,8,6,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,26.5,0,0.006462675,1.231,0.000542211,0.011470995,0.047268002
0,0,4,0,18.5,0,0,8.5,11,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,25,0,0.0086547,1.2092,0.00055868,0.01149565,0.048599254
0,0,5.5,0,15.5,0,0,12.5,8,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,16,0,0.00666787,1.4004,0.000815441,0.012872049,0.063349744
0,0,4.5,0,18.5,0,0,10,9.5,0,0,0,0,0,0,0,0,0,43.5,0,0,0,0,0,0,14,0,0.00697241,1.4572,0.00085722,0.013629764,0.06289324
0,0,5,0,14,0,0,12.5,8,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,23,0,0.0079593,1.2645,0.000657121,0.011853277,0.055437916
0,0,6.5,0,16,0,0,12.5,6,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,16,0,0.00623559,1.4165,0.000804868,0.012963573,0.062086897
0,0,5,0,18,0,0,10,8.5,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,16,0,0.00713135,1.4269,0.000818322,0.013043565,0.062737602
0,0,5.5,0,17.5,0,0,10,7.5,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,17.5,0,0.007146735,1.4073,0.000786819,0.012725466,0.061830269
0,0,5,0,17.5,0,0,10.5,8.5,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,16,0,0.0071,1.422,0.000818639,0.013013593,0.062906454
0,0,5.5,0,16.5,0,0,12,7.5,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0,0,0,16,0,0.00679219,1.4131,0.000855326,0.012981691,0.065887104
0,0,5.5,0,18.5,0,0,10,7.5,0,0,0,0,0,0,0,0,0,43.5,0,0,0,0,0,0,15,0,0.00673648,1.4553,0.00083145,0.013373461,0.062171638
0,0,5.5,0,13.5,0,0,13,7.5,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,21.5,0,0.007446555,1.2933,0.000598108,0.011635015,0.051405866
0,0,5.5,0,12.5,0,0,12.5,11,0,0,0,0,0,0,0,0,0,36.5,0,0,0,0,0,0,22,0,0.00678471,1.2153,0.000581005,0.01103587,0.052646958
0,0,5,0,19.5,0,0,9.5,8.5,0,0,0,0,0,0,0,0,0,43.5,0,0,0,0,0,0,14,0,0.006793,1.4681,0.000914818,0.013710704,0.066722903
0,0,5.5,0,14.5,0,0,13,8,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,25,0,0.00772775,1.1894,0.000549783,0.011474881,0.047911871
0,0,0,0,29,0,0,8,16.5,0,0,0,8,0,0,0,0,0,26,0,0,0,0,0,0,12.5,0,0.008355545,1.2342,0.000651947,0.013084297,0.049826674
0,0,5.5,0,18,0,0,10.5,7.5,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,15.5,0,0.006796685,1.4392,0.000814768,0.013201648,0.06171711
