,Ti,Nb,Al,Ge,Co,Au,Pd,Ni,Zn,Ga,Mo,Cu,Pt,Sn,Cr,Mn,Mg,Si,Fe,Ru,Rh,Hf,Ta,W,Re,Ir,Bi
0,0.0,0.0,5.0,0.0,18.0,0.0,0.0,6.5,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
1,0.0,0.0,3.5,0.0,11.0,0.0,0.0,13.0,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2,0.0,0.0,5.5,0.0,19.0,0.0,0.0,6.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
3,0.0,0.0,5.5,0.0,18.0,0.0,0.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0
4,0.0,0.0,4.5,0.0,17.0,0.0,0.0,7.5,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0
5,0.0,0.0,5.5,0.0,13.5,0.0,0.0,10.5,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
6,0.0,0.0,5.0,0.0,14.0,0.0,0.0,10.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0
7,0.0,0.0,0.0,0.0,42.0,0.0,0.0,10.5,26.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
8,0.0,0.0,5.0,0.0,16.5,0.0,0.0,8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
9,0.0,0.0,0.0,0.0,42.0,0.0,0.0,11.5,26.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0
10,0.0,0.0,0.0,0.0,39.0,0.0,0.0,12.5,26.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
11,0.0,0.0,6.0,0.0,10.5,0.0,0.0,13.5,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0
12,0.0,0.0,0.0,0.0,42.0,0.0,0.0,10.5,26.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
13,0.0,0.0,4.0,0.0,17.5,0.0,0.0,6.5,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0
14,0.0,0.0,0.0,0.0,42.0,0.0,0.0,11.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
15,0.0,0.0,5.0,0.0,11.0,0.0,0.0,13.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0
16,0.0,0.0,3.5,0.0,15.5,0.0,0.0,8.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0
17,0.0,0.0,0.0,0.0,45.5,0.0,0.0,11.5,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0
18,0.0,0.0,0.0,0.0,42.5,0.0,0.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
19,0.0,0.0,4.5,0.0,15.5,0.0,0.0,8.5,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
