,Ti,Nb,Al,Ge,Co,Au,Pd,Ni,Zn,Ga,Mo,Cu,Pt,Sn,Cr,Mn,Mg,Si,Fe,Ru,Rh,Hf,Ta,W,Re,Ir,Bi
0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,66.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,59.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0
2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0
4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,68.5,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0
5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,56.0,0.0,15.5,0.0,0.0,0.0,0.0,18.5,0.0
6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
7,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,66.5,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
8,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,69.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0
9,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,0.0,14.5,0.0,0.0,0.0,0.0,14.0,0.0
10,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
11,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
12,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,69.5,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0
13,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,70.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0
14,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,70.5,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,0.0,19.0,0.0,0.0,0.0,0.0,15.0,0.0
16,12.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0
17,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,67.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.0,0.0,0.0,0.0,0.0,17.0,0.0
19,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.5,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
