Ti,Nb,Al,Ge,Co,Au,Pd,Ni,Zn,Ga,Mo,Cu,Pt,Sn,Cr,Mn,Mg,Si,Fe,Ru,Rh,Hf,Ta,W,Re,Ir,Bi,Ef,Mag,AHC,condu,AHA,ene
0,0,4,0,3.5,0,0,43.5,20.5,0,0,0,0,0,0,0,0,0,27.5,0,0,0,0,0,0,1,0,-0.00201603,0.933,0.000265855,0.026889434,0.009887,-3233.720742
20.5,0,0,0,20.5,0,10.5,12,0,0,0,0,0,0,0,0,0,0,35.5,0,0,0,1,0,0,0,0,0.006227225,1.0523,0.000254763,0.011146897,0.022855,-3562.489966
0,2.5,0,0,3,0,5.5,49,0,0,0,12,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0.009093765,1.0373,0.000201809,0.021746205,0.00928,-3430.203793
0,0,0,0,28.5,12.5,0,20.5,0,0,0,0,0,0,0,10.5,0,0,22.5,5.5,0,0,0,0,0,0,0,0.019182805,1.4852,0.000331336,0.014865382,0.022289,-7494.438388
5.5,0,0,0,23,0,3,42,12,0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0.000456415,0.8774,0.000106918,0.016006204,0.00668,-3115.431969
0,0,0,0,40,0,0,8.5,0,0,0,0,20,0,0,0,0,0,15.5,0,6,0,10,0,0,0,0,0.01815909,1.0871,0.00026048,0.014816337,0.017581,-12846.13689
0,0,0,14.5,25.5,0,0,18,0,0,0,0,0,0,0,2,0,0,34,0,0,0,0,6,0,0,0,0.017044155,1.3686,0.00019067,0.009725724,0.019605,-4718.703275
0,0,8.5,0,12,0,0,29.5,0,0,0,0,0,0,0,18,0,0,27,0,0,0,0,5,0,0,0,0.01143075,1.279,0.000293609,0.011530225,0.025464,-3994.056776
0,0,0,0,41.5,0,0,0.5,11,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,29,0,0.01439106,1.1722,0.000469052,0.01423592,0.032948,-12382.97196
0,0,0,0,16,0,0,11,0,0,0,0,0,13.5,0,0,8.5,0,35,0,0,16,0,0,0,0,0,0.03981916,1.1651,0.000285336,0.007188494,0.039693,-8205.179871
0,0,0,0,31,0,0,28.5,0,0,0,11.5,0,0,0,0,0,21.5,4.5,3,0,0,0,0,0,0,0,0.00708063,0.7113,0.000124692,0.011672592,0.010682,-2622.668015
0,0,0,0,9.5,0,0,55.5,0,0,0,0,0,0,0,0,0,0,13.5,9.5,0,0,2.5,0,0,9.5,0,0.01851062,0.7807,0.000107938,0.015674678,0.006886,-7331.980392
0,0,0,8.5,7.5,0,0,27.5,0,0,0,0,0,9.5,0,0,0,0,36.5,0,0,0,0,10.5,0,0,0,0.03507543,1.1416,0.000139778,0.007988229,0.017498,-6900.39279
0,0,0,0,21,7.5,0,39.5,0,0,0,0,0,12.5,0,1,0,0,18.5,0,0,0,0,0,0,0,0,0.02434576,1.0825,0.000186032,0.019857338,0.009368,-6682.818771
0,11.5,0,0,2.5,0,14.5,30.5,0,0,0,0,4.5,0,0,0,0,0,36.5,0,0,0,0,0,0,0,0,0.01963846,1.076,0.000192054,0.010983597,0.017486,-5929.100688
0,0,0,0,25.5,0,0,6.5,1,0,25,0,0,0,0,0,0,0,31,0,0,11,0,0,0,0,0,0.04677309,0.9549,0.000323179,0.016022116,0.020171,-7079.742731
0,0,0,0,10.5,0,0,48.5,0,0,0,0,0,0,0,19.5,0,8,12,0,0,1.5,0,0,0,0,0,0.00415251,1.2372,0.000167317,0.014122246,0.011848,-3024.532499
0,0,3,0,28,0,0,44,0,0,0,0,0,0,0,21.5,0,3.5,0,0,0,0,0,0,0,0,0,0.0026244,1.2016,0.000210531,0.014503792,0.014516,-2651.777696
0,0,0,0,14,0,11.5,23.5,0,0,0,0,0,0,0,0,0,0,32.5,0,0,0,0,0,0,6.5,12,0.294490945,1.3585,0.0005055,0.010338599,0.048894,-10593.97803
0,0,0,0,17.5,13.5,16.5,36.5,0,0,0,0,0,0,0,0,0,0,15.5,0,0,0,0,0,0.5,0,0,0.015696765,1.0355,0.000192435,0.035568918,0.00541,-8968.206178
0,0,0,0,44,0,0,0.5,0,0,0,0,4,0,0,0,1.5,22,28,0,0,0,0,0,0,0,0,0.007548095,1.4101,0.000276136,0.013224826,0.02088,-3563.617874
0,0,0,0,12,0,0,44,0,0,0.5,20.5,0,0,0,0,0,0,20.5,0,0,0,0,0,2.5,0,0,0.01004985,0.9357,0.000126614,0.015835418,0.007996,-3749.583598
0,0,13.5,0,1.5,0,0,62,0,0,0,0,0,0,0,0,0,0,15.5,0,7,0.5,0,0,0,0,0,-0.006189435,0.7173,9.41E-05,0.019360626,0.00486,-3208.700744
0,0,19,0,38,0,0,1.5,0,0,0,0,0,0,0,0,0,0,29.5,0,0,1.5,0,0,10.5,0,0,0.013381035,1.19,0.000155372,0.010129485,0.015339,-5911.63902
18.5,0,2,0,5,0,0,42,10.5,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0.000536895,0.6151,8.19E-05,0.008179201,0.010013,-2679.69734
0,0,9.5,0,5.5,0,0,34,0,0,0,13,0,0,0,0,0,0,25.5,0,0,12.5,0,0,0,0,0,0.023072135,0.755,0.000140567,0.008505899,0.016526,-6087.487884
0,0,0,0,7,0,0,46,0,0,2,0,0,0,0,0,0,0,27,14,0,0,0,0,0,0,4,0.11440564,1.0634,0.000135051,0.011739359,0.011504,-5438.890777
6,0,0,0,46.5,0,1.5,16,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,24,0,0,0.03135772,0.7297,8.53E-05,0.016312321,0.005226,-10213.90234
0,0,12,0,19.5,0,0,58.5,0,0,0,0,0,0,4.5,0,0,0,1,0,0,0,0,4.5,0,0,0,0.00574817,0.4143,6.03E-05,0.011509161,0.005243,-3956.109694
7.5,0,0,0,28,0,0,36.5,0,0,0,0,0,2.5,0,0,0,11.5,14,0,0,0,0,0,0,0,0,0.005313215,0.875,8.83E-05,0.010321528,0.008555,-2750.679004
0,14,0,0,37.5,0,0,5,0,0,0,0,0,0,0,0,0,0,31.5,0,0,0,0,6,0,0,6,0.17873012,1.2785,0.000279149,0.011109574,0.025127,-7598.355988
0,0,0,0,17,0,0,16.5,0,0,0,0,10.5,0,12.5,0,0,0,40.5,0,0,0,0,0,0,0,3,0.085717965,1.0979,0.000228643,0.011365827,0.020117,-7438.022033
0,0,0,0,32,0,0,9.5,17.5,0,0,0,0,0,0,0,0,0,33.5,0,0,0,0,0,0,7.5,0,0.007007405,1.4168,0.00072836,0.017224155,0.042287,-5340.952998
6.5,0,0,0,4,0,0,40,0,0,0,0,0,0,16,0,0,0,24.5,0,0,0,9,0,0,0,0,0.026277585,0.4839,0.00011088,0.010878604,0.010192,-5211.801369
0,0,0,0,31.5,0,11,34.5,0,0,0,0,9.5,0,0,0,0,0,10,0,0,0,0,0,0,3.5,0,0.01091558,1.1398,0.000625542,0.028348996,0.022066,-8047.179497
0,0,0,14,6,0,0,40.5,0,0,0,0,0,0,3,3,0,0,33.5,0,0,0,0,0,0,0,0,0.00501428,1.1637,0.000130196,0.012058674,0.010797,-2972.190242
0,0,0,0,63,0,0,3.5,0,0,0,24.5,0,0,2.5,0,0,3.5,3,0,0,0,0,0,0,0,0,0.00750965,1.0193,0.000156794,0.019108964,0.008205,-2822.421331
0,1,0,26,9,0,0,28.5,0,0,0,0,9,0,0,0,0,0,26.5,0,0,0,0,0,0,0,0,0.01008039,1.0172,0.000233846,0.009967232,0.023461,-6280.667881
