Ti,Nb,Al,Ge,Co,Au,Pd,Ni,Zn,Ga,Mo,Cu,Pt,Sn,Cr,Mn,Mg,Si,Fe,Ru,Rh,Hf,Ta,W,Re,Ir,Bi,Ef,Mag,AHC,condu,AHA
0,0,2.5,0,13,0,8.5,10.5,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,29.5,0,0.020344275,1.0578,0.000192274,0.009908698,0.019404568
0,0,0,0,2,0,0,1.5,7.5,0,0,0,28,0,0,0,0,0,56,0,0,0,0,0,0,5,0,0.00717603,1.7066,0.00112086,0.016614021,0.067464704
6.5,0,0,0,13.5,0,7.5,10.5,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,26,0,0.014050915,0.7958,0.00012785,0.01067858,0.011972566
0,0,0,24.5,16,0,5.5,7,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,10,0,0.012497015,1.1905,0.000254005,0.008049509,0.031555343
7,0,0,0,12.5,0,7,11,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,26.5,0,0.013553105,1.3493,0.000552525,0.012529968,0.044096283
0,0,0,0,2.5,0,0,1.5,14,0,0,0,21,0,0,0,0,0,56.5,0,0,0,0,0,0,4.5,0,0.004808415,1.6607,0.00110687,0.018364312,0.060272881
0,0,0,0,3.5,0,0,1,8,0,0,0,27.5,0,0,0,0,0,55.5,0,0,0,0,0,0,4.5,0,0.0069042,1.7093,0.00113543,0.01715852,0.066172958
0,0,0,0,3.5,0,0,1.5,9.5,0,0,0,26.5,0,0,0,0,0,54.5,0,0,0,0,0,0,4.5,0,0.00644311,1.6745,0.00111053,0.017090192,0.064980544
0,0,0,0,2,0,0,1.5,12,0,0,0,23.5,0,0,0,0,0,56,0,0,0,0,0,0,5,0,0.005522725,1.6654,0.00108697,0.016887701,0.064364591
0,0,0,20.5,17,0,7,7,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,12.5,0,0.01110185,1.1555,0.000109228,0.007929766,0.013774429
0,0,0,22.5,17,0,6,7,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,11.5,0,0.01186668,1.1742,0.000313438,0.008018916,0.039087328
5,0,0,0,12,0,9.5,12,0,0,0,0,0,0,0,0,0,0,35.5,0,0,0,0,0,0,26,0,0.01612221,0.9804,0.000231556,0.009268491,0.02498314
0,0,0,27,19,0,5.5,5,0,0,0,0,0,0,0,0,0,0,35.5,0,0,0,0,0,0,8,0,0.01386909,1.1879,0.000349218,0.00816926,0.042747814
0,0,3,0,12.5,0,6.5,11.5,0,0,0,0,0,0,0,0,0,0,35.5,0,0,0,0,0,0,31,0,0.02021874,1.1012,0.000258861,0.010294064,0.025146627
0,0,0,0,2,0,0,1,7,0,0,0,28.5,0,0,0,0,0,56.5,0,0,0,0,0,0,5,0,0.007282765,1.7214,0.00112488,0.016627073,0.067653519
6,0,0,0,14,0,9.5,10,0,0,0,0,0,0,0,0,0,0,35.5,0,0,0,0,0,0,25,0,0.01451215,0.9972,0.000219803,0.009215801,0.023850666
0,0,0,19,15,0,5.5,9,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,15.5,0,0.011313215,1.1761,0.000387594,0.008158814,0.047506169
0,0,0,0,4,0,0,2,16.5,0,0,0,20,0,0,0,0,0,53.5,0,0,0,0,0,0,4,0,0.00430263,1.5912,0.000928349,0.017974101,0.05164926
0,0,0,18.5,13.5,0,7.5,7.5,0,0,0,0,0,0,0,0,0,0,38.5,0,0,0,0,0,0,14.5,0,0.01034164,1.3478,0.000589883,0.009611945,0.061369782
0,0,0,0,3.5,0,0,1,7.5,0,0,0,28,0,0,0,0,0,55.5,0,0,0,0,0,0,4.5,0,0.007113345,1.7137,0.00108716,0.017124742,0.063484753
