,0,ground truth,pred,R2&MAE,ground truth.1,pred.1,R2&MAE.1,ground truth.2,pred.2,R2&MAE.2,ground truth.3,pred.3,R2&MAE.3,ground truth.4,pred.4,R2&MAE.4,ground truth.5,pred.5,R2&MAE.5,ground truth.6,pred.6,R2&MAE.6,ground truth.7,pred.7,R2&MAE.7,ground truth.8,pred.8,R2&MAE.8,ground truth.9,pred.9,R2&MAE.9,ground truth.10,pred.10,R2&MAE.10,ground truth.11,pred.11,R2&MAE.11,ground truth.12,pred.12,R2&MAE.12,ground truth.13,pred.13,R2&MAE.13,ground truth,pred,R2&MAE
0,,0.16942625,0.09470332,0.99326,0.0843887,0.087545,0.98662,0.22956795,0.19685109,0.97473,0.14700845,0.052375145,0.89722,0.1663196,0.11729077,0.98282,9.73905,9.488726,0.94364,3.22931,3.432041,0.95903,3.26648,3.432068,0.95387,3.59265,3.7770753,0.92547,9.67218,9.800881,0.85817,5.8782043,5.8758307,0.8865,3.7940061,4.0727215,0.84757,4.5430829,5.864233,0.88791,4.1530381,2.6584134,0.9246,5.919514599999999,5.724774,0.8262
1,,1.63435505,1.1318933,0.1335403285657828,0.3300858,0.41100097,0.1153775217583846,0.0948982999999999,0.08264182,0.1054093648072719,0.0664424,0.065825425,0.1479177150970394,0.0512166,0.036015607,0.1284467066056496,6.650449999999999,6.2472115,0.5250436173357282,4.68521,5.062455,0.4890485903538295,3.53543,3.394221,0.5282917076447431,2.49789,3.074666,0.6341304455086845,2.38439,2.1597993,0.7974421453639439,6.0145347000000005,5.9120955,0.5674061028207398,2.7183563,3.0875874,0.554102647861677,2.5667045,2.981675,0.4736975296173992,3.1766372,3.272531,0.4439364139150129,2.9594866,2.3488538,0.6683879823247201
2,,0.22766625,0.21492612,,0.9773477,0.997047,,0.2713290499999999,0.15932606,,0.20866485,0.16160011,,0.06932625,0.015904106,,6.64345,6.908018,,3.4258200000000003,2.5486145,,4.56719,4.090948,,3.41152,4.1890182,,3.726,3.2549098,,3.1907205000000003,4.307936,,2.9118805,3.0821347,,3.3229513,4.81431,,2.7785523,2.9609408,,3.2453279000000004,3.2552273,
3,,0.1750591,0.14540389,,0.17956005,0.22874606,,0.1326621,0.15918182,,0.627867,0.852059,,0.0964251,0.22033986,,3.76504,4.3481855,,9.13684,9.669005,,5.63092,3.306996,,6.09746,5.0683084,,7.920820000000001,7.4982767,,3.2188007,2.9780455,,5.735826,5.8356476,,3.920552,3.9968982,,3.9851713,3.8592029,,4.2014946,4.619935,
4,,0.1291652,0.12736244,,0.1265313,0.06260519,,0.09909375,-0.013059132,,0.0578168,0.1763895,,0.26038575,0.10414753,,4.95998,3.7327561,,2.4936000000000003,2.0634024,,2.18649,2.397171,,2.47048,2.585208,,3.11453,3.2895844,,2.7425884000000003,3.0256867,,2.9171526,2.8214226,,2.4221905,1.9750655,,2.203666,2.2620773,,2.5628946,3.294841,
5,,0.1941901,0.14670937,,0.23408655,0.3273363,,0.33433195,0.30936477,,0.3219131,0.27672058,,0.1581054,0.16719863,,3.319,3.7712398,,2.50008,2.0552256,,2.39151,2.9521775,,4.265350000000001,4.0015454,,3.68939,3.3169675,,2.5126269,3.1894314,,3.0695818,2.783958,,2.4970286,2.867798,,3.0254417,3.2482376,,4.4289396000000005,3.3856304,
6,,0.0130332,-0.07849169,,0.0762563,-0.02092459,,0.14920165,0.14186384,,0.1246039999999999,0.11457417,,0.0343298,0.13787553,,2.96882,3.5789287,,3.95932,3.6255825,,3.58799,3.012176,,2.42399,2.8518949,,5.2072,6.4619427,,3.3463565,3.2300766,,4.0159567,3.7270327,,3.2584053,3.4464903,,2.9249788,2.9553852,,4.2546469,4.949478,
7,,0.09546425,0.09099114,,0.2133092,0.09694388,,0.09544715,0.19959557,,0.2883792,0.2897893,,0.1821475,0.022202946,,4.49183,4.3705225,,3.3126,3.6039011,,3.4598,4.41741,,4.07705,3.6366506,,4.0328,3.792689,,2.1281906,1.9666932,,2.464551,2.9298182,,2.6210977,2.7671657,,1.5113363,1.9428734,,5.2216744,3.4329727,
8,,0.2762851,0.21132979,,0.3837386,0.47758627,,0.1276084,0.16756187,,0.0551704499999999,0.13344422,,0.1787137,0.10404972,,3.24283,2.7213612,,4.04162,3.5855172,,3.12014,3.0982668,,3.15666,3.0871859,,9.08348,9.565105,,2.4796612,2.3445446,,3.1356866999999995,3.0621972,,1.894311,2.5199296,,2.1975298,1.7937249,,5.6959525,5.706961,
9,,0.1142411999999999,0.098636374,,0.7535024499999999,0.6266974,,0.03211065,-0.020314,,-0.0439156,0.049663417,,0.2559682,0.19928387,,4.71867,5.005986,,2.44793,2.5212777,,5.876860000000001,4.558754,,2.51317,2.5577297,,3.12645,3.7241607,,2.9966251,4.145189,,2.8420418,3.408029,,3.3368736,3.2040703,,1.4081276,1.780929,,3.0508219,3.2626708,
10,,0.1703456,0.0936764,,0.1147683499999999,0.2007854,,2.2609282,1.6617119,,0.15534395,0.16553333,,0.3280479,0.18856478,,9.68031,9.494605,,2.17948,3.0931804,,1.65743,3.0437598,,1.88552,2.3754497,,5.46818,4.4388857,,5.8559379,5.8767557,,1.5301176,1.2037749,,2.1763732,3.4248116,,1.4507076,2.1094742,,6.9846563,4.3312325,
11,,0.3383673,0.32187212,,0.24972275,0.21785125,,2.5620034,2.3070917,,0.2014558,0.19585118,,0.0456265999999999,-0.03062027,,4.55407,4.0742126,,3.63703,2.5461757,,3.5760300000000003,3.0663435,,4.20966,4.3785596,,3.75248,4.0690136,,4.8646385,3.706972,,4.2940604,3.6621833,,5.4496482,5.2075176,,3.0440371,3.290379,,1.0692998,3.2750762,
12,,0.2248870999999999,0.19392568,,0.1240042,-0.047872208,,2.6708898,2.9960337,,0.1709569999999999,0.14245895,,0.1258095,0.023203947,,4.13705,4.354933,,3.33075,3.2852771,,3.52731,3.4428425,,9.66918,9.692493,,3.60819,3.703123,,3.1322181,2.5553074,,4.150380800000001,3.069981,,4.6534775,4.7481737,,5.8931864,5.773009,,2.3149072,1.636441,
13,,1.2068707,0.6738322,,0.10304875,0.07344449,,0.1668138499999999,0.13792737,,0.00735685,0.093700685,,0.1351465,0.04851053,,8.24071,9.563021,,4.7173300000000005,4.605813,,9.59836,9.6136465,,3.37878,3.3203807,,9.2258,6.42492,,7.0164303,6.3627357,,4.6321845,3.2614703,,5.8983424,5.918225,,4.1744732,3.1049466,,3.0580167,3.0569022,
14,,0.6475996500000001,0.38695017,,0.1350222,0.18346885,,0.11652265,0.07187673,,0.22500755,0.294091,,0.34303215,0.07212869,,3.47126,2.5433977,,5.225479999999999,4.3308887,,11.2322,9.8535,,4.56213,4.6075974,,2.62964,2.6377234,,3.4961153,2.6965802,,3.2765178,3.004057,,5.3592377,4.6506066,,4.7181053,4.057815,,2.8281862,2.019818,
