,Ti,Nb,Al,Ge,Co,Au,Pd,Ni,Zn,Ga,Mo,Cu,Pt,Sn,Cr,Mn,Mg,Si,Fe,Ru,Rh,Hf,Ta,W,Re,Ir,Bi
0,0.0,0.0,2.5,0.0,13.0,0.0,8.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,0.0
1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.5,7.5,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2,6.5,0.0,0.0,0.0,13.5,0.0,7.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
3,0.0,0.0,0.0,24.5,16.0,0.0,5.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
4,7.0,0.0,0.0,0.0,12.5,0.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,0.0
5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,1.5,14.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,56.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0
6,0.0,0.0,0.0,0.0,3.5,0.0,0.0,1.0,8.0,0.0,0.0,0.0,27.5,0.0,0.0,0.0,0.0,0.0,55.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0
7,0.0,0.0,0.0,0.0,3.5,0.0,0.0,1.5,9.5,0.0,0.0,0.0,26.5,0.0,0.0,0.0,0.0,0.0,54.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0
8,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.5,12.0,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
9,0.0,0.0,0.0,20.5,17.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0
10,0.0,0.0,0.0,22.5,17.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0
11,5.0,0.0,0.0,0.0,12.0,0.0,9.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
12,0.0,0.0,0.0,27.0,19.0,0.0,5.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
13,0.0,0.0,3.0,0.0,12.5,0.0,6.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0
14,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0,0.0,0.0,56.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
15,6.0,0.0,0.0,0.0,14.0,0.0,9.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
16,0.0,0.0,0.0,19.0,15.0,0.0,5.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0
17,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,16.5,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,53.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
18,0.0,0.0,0.0,18.5,13.5,0.0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0
19,0.0,0.0,0.0,0.0,3.5,0.0,0.0,1.0,7.5,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,55.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0
