,0,ground truth,pred,R2&MAE,ground truth.1,pred.1,R2&MAE.1,ground truth.2,pred.2,R2&MAE.2,ground truth.3,pred.3,R2&MAE.3,ground truth.4,pred.4,R2&MAE.4,ground truth.5,pred.5,R2&MAE.5,ground truth.6,pred.6,R2&MAE.6,ground truth.7,pred.7,R2&MAE.7,ground truth.8,pred.8,R2&MAE.8,ground truth.9,pred.9,R2&MAE.9,ground truth.10,pred.10,R2&MAE.10,ground truth.11,pred.11,R2&MAE.11,ground truth.12,pred.12,R2&MAE.12,ground truth.13,pred.13,R2&MAE.13,ground truth,pred,R2&MAE
0,,0.1289557499999999,0.15323848,0.97604,0.06569445,0.17604154,0.99592,0.1017540999999999,0.05148682,0.99096,0.1216936,0.12913091,0.99444,0.06470565,0.05828733,0.99436,0.183,0.7920601,0.85149,5.404039999999999,4.385744,0.934,6.781689999999999,6.3025045,0.90951,2.09059,3.337008,0.91088,7.2597,7.871516,0.96859,0.1532,0.6764871,0.90897,2.8105,1.8643188,0.94517,5.689432,5.4151516,0.94539,1.6919,1.6877587,0.97314,5.7087024,6.041392,0.9772
1,,0.1004985,0.16822028,0.0882651774016464,0.29665365,0.34838212,0.0440173653538156,-0.0396894,-0.036096722,0.0643202075365394,0.0415250999999999,0.089571044,0.0597996996445057,0.06600145,0.045484073,0.0470619252329642,1.2661399999999998,1.7507653,0.8447288748411337,1.2191,1.1587157,0.5819800788238201,5.55631,5.800523,0.6421552116021514,1.67317,1.6030133,0.6430535790230365,6.902609999999999,6.823793,0.4540811788421868,0.7996,0.8989506,0.4737090197231531,1.1461,1.5410383,0.4217995474132456,3.8049636,3.7343872,0.4008649508277893,1.1848,1.2340586,0.3093423606306928,5.5296877,5.603584,0.3060333352538745
2,,0.4894826,0.44060537,,3.0287208,3.2440357,,0.1091558,0.18990096,,0.45482175,0.40971053,,0.04769635,0.12498773,,2.29648,2.264798,,5.35381,4.0361795,,6.25542,2.9856534,,1.20152,0.76999015,,1.7006899999999998,1.630221,,1.8163,1.6153938,,4.7459,3.4778688,,2.2066,0.8018985,,1.3975,0.9646742,,1.1325,0.98911154,
3,,1.1469467999999998,1.1629503,,0.3042492499999999,0.30206618,,0.23355725,0.29208297,,0.10269365,0.03132956,,-0.039922,-0.028624678,,0.681,1.4789994,,1.47308,1.0428882,,0.749,1.54091,,6.59258,6.0278635,,5.65521,5.2490196,,0.6518999999999999,1.2565736,,1.2381,1.2210783,,0.7731,1.713303,,5.4904027,5.6067047,,4.1061484,3.8930562,
4,,0.07536855,0.025967533,,1.8539167,1.8986981,,-0.06871805,0.007374363,,0.15783605,0.20123404,,0.28954185,0.26842594,,8.92371,8.437882,,3.1684,2.5494387,,5.04562,4.691016,,3.4591100000000004,3.4507492,,0.0344,0.6892935,,6.383683800000001,6.0971165,,2.9519,2.5609727,,3.4999114,3.1937726,,2.7929,2.1936352,,0.0315,0.71040255,
5,,0.02774735,-0.02735067,,0.3507542999999999,0.27800578,,0.09718595,0.12514743,,0.3245153,0.2647073,,0.20092495,0.12853688,,5.58457,5.6475267,,1.3977799999999998,1.5645161,,0.929,0.3246879,,2.62066,3.402751,,1.99545,2.3046155,,5.1178202,5.088377,,1.7498,2.0055554,,1.0862,0.84186816,,1.7874,2.8712585,,1.6452000000000002,1.9777958,
6,,-0.0688608,-0.1834624,,0.1029666499999999,0.11497873,,0.0834791499999999,0.19976157,,-0.0685545,-0.032078426,,0.06907615,0.068978526,,2.62371,5.2807717,,6.24401,6.0287313,,3.95692,2.9994767,,5.21842,4.495252,,7.12969,7.256856,,1.7602965000000002,4.0913067,,5.1548025,5.5973096,,1.9062,1.517052,,3.6484952,3.5597193,,5.7222272,6.038074,
7,,0.1782459,0.19800699,,0.06227225,0.1404134,,-0.04104565,-0.038526386,,1.27466615,1.1299505,,0.07544645,0.09394107,,2.33529,2.6367834,,2.54763,2.9191258,,5.4274,5.3824406,,3.011,3.89468,,7.01895,7.111313,,1.7055,1.7694408,,2.2855,2.444871,,3.6568021,3.4782872,,2.5583,2.2932336,,5.5309209,5.6726174,
8,,0.2340501999999999,0.18917727,,0.3135772,0.31832045,,0.1251827,0.16618556,,0.332334,0.2665598,,0.05690645,0.06703705,,3.59201,2.510198,,0.853,0.98966855,,0.358,1.9124044,,0.258,0.37823677,,2.68736,1.7175261,,1.553,1.1706487,,0.5226,0.7148744,,0.0917999999999999,0.5545906,,0.2360999999999999,0.6074851,,2.4712,2.1312916,
9,,0.0750965,0.13323116,,0.1008039,0.085336864,,0.1809511999999999,0.12700123,,0.0796853999999999,0.15556611,,0.0740230499999999,0.079471566,,1.56794,3.099192,,2.33846,1.7657859,,2.82871,2.5578911,,7.78658,3.0801802,,7.819240000000001,8.245714,,0.8205,0.5945724,,2.3461,1.6743948,,1.92,1.5209327,,1.8553,1.8400085,,5.95377,6.0099974,
