,0,ground truth,pred,R2&MAE,ground truth.1,pred.1,R2&MAE.1,ground truth.2,pred.2,R2&MAE.2,ground truth.3,pred.3,R2&MAE.3,ground truth.4,pred.4,R2&MAE.4,ground truth.5,pred.5,R2&MAE.5,ground truth.6,pred.6,R2&MAE.6,ground truth.7,pred.7,R2&MAE.7,ground truth.8,pred.8,R2&MAE.8,ground truth.9,pred.9,R2&MAE.9,ground truth.10,pred.10,R2&MAE.10,ground truth.11,pred.11,R2&MAE.11,ground truth.12,pred.12,R2&MAE.12,ground truth.13,pred.13,R2&MAE.13,ground truth,pred,R2&MAE
0,,0.1091558,0.09610352,0.99348,0.26277585,0.26434246,0.99714,-0.04128875,0.008434895,0.99176,-0.0307969,-0.06788288,0.99714,0.0574817,-0.17310807,0.99145,6.25542,2.5934138,0.85327,1.1088,0.7020329,0.8697,5.02248,5.6111665,0.88529,5.151109999999999,5.318263,0.78464,0.603,0.6170415,0.78157,2.2066,1.0166211,0.87933,1.0192,1.161673,0.90578,3.7211569,3.9934204,0.87762,3.4883984,3.8195431,0.88574,0.5243,0.7819785,0.86178
1,,-0.0416825,-0.037950046,0.0462831576482939,0.2066569999999999,0.20256183,0.0296839846047707,0.1007405,0.1953363,0.0524559103547549,0.2495100999999999,0.2593686,0.048775676575882,0.2018153,0.21469703,0.1271361808391976,5.77524,5.358555,0.612429478016615,1.0985399999999998,1.4617552,0.5944835745725877,1.67599,2.6573403,0.4910099562587738,0.638,1.695636,0.591312165402174,1.14636,1.390992,0.5762745998272896,4.1754547,4.2229958,0.4437030447416686,1.2506,0.9708613,0.3003200774250714,1.2001,1.4390326,0.3219478796690845,0.5282,0.8651501,0.3890057010886168,1.1394,1.2645848,0.4631261860178089
2,,0.1851062,0.25637665,,0.07007405,0.0332696,,0.09718595,0.12015596,,0.05201155,-0.010569241,,0.1626452,0.10901994,,1.07938,1.5258342,,7.283600000000001,5.3761344,,0.929,1.0399886,,4.16449,5.212234,,2.01385,2.1520803,,0.6886,1.1894733,,4.2287,3.653572,,1.0862,1.19551,,2.8297,3.1948988,,1.2305,1.3818195,
3,,0.2906216,0.2831917,,0.3481977,0.3330345,,-0.0697327,0.007156644,,0.0932698499999999,0.11330551,,0.0266842999999999,0.08920369,,3.79222,4.349448,,2.44311,2.2456334,,5.7734,5.1409764,,1.49868,1.692369,,1.82774,2.317644,,2.7858,2.2931082,,2.1868,1.7856308,,4.0212889,3.840959,,1.3419,1.4176399,,0.2572,1.2993709,
4,,1.4669498,1.4804463,,0.3211055499999999,0.33085364,,0.23072135,0.228781,,1.8539167,1.9967211,,0.13253005,-0.084890984,,1.48245,2.5923839,,0.466,0.5800924,,1.40567,1.8590642,,3.1684,3.125981,,2.29189,2.3234656,,1.7105,2.0444927,,0.4342999999999999,0.6799946,,1.6525999999999998,1.2003552,,2.9519,3.41778,,1.8881999999999999,1.958085,
5,,1.1440564,1.2532197,,0.4847805,0.46586725,,0.22937445,0.2537946,,0.04769635,0.13505897,,2.94490945,2.8612623,,1.35051,1.609748,,4.48178,3.0909874,,3.7359,3.460141,,1.7006899999999998,1.0905863,,5.055,4.833431,,1.1504,1.3938879,,2.585,2.4626207,,2.5183,1.7557266,,1.1325,0.78294504,,4.8894,3.8644345,
6,,-0.03400285,-0.039964028,,-0.0115519,0.05940041,,0.05690645,0.13943607,,0.0796853999999999,0.16035803,,-0.02949475,-0.1154033,,5.38685,5.037376,,2.67352,3.0657175,,2.68736,2.44397,,7.78658,3.4200099,,5.21097,5.1051674,,4.0794005,4.259333,,2.5879,2.443767,,2.4712,2.121025,,1.8553,2.048515,,3.9919987999999997,3.7498424,
7,,0.4156076999999999,0.4151966,,-0.0690468499999999,-0.072330385,,0.1782459,0.13268787,,0.11962025,0.07260446,,0.28473,0.2356424,,1.46602,1.3793983,,5.70222,5.125368,,2.33529,2.4678683,,1.68247,1.5371346,,2.70417,3.2401807,,1.4251,1.191075,,3.9474579,3.6344912,,1.7055,1.771872,,1.4421,1.2334985,,2.3686,2.1505148,
8,,0.07548095,0.09856858,,-0.04104565,-0.0449121,,0.2184813,0.22668049,,0.357108,0.37449938,,0.34198785,0.12260988,,2.7613600000000003,2.789567,,5.4274,5.478536,,3.17692,2.430439,,1.81623,1.6927118,,0.0332999999999999,0.66390944,,2.088,1.410324,,3.6568021,3.6674297,,0.5911,1.209311,,1.3141,1.5166342,,0.028499999999999998,0.3836012,
9,,0.14571495,0.16880898,,0.21405045,0.2377218,,1.95624905,1.9195133,,0.20348325,0.12617959,,0.1483143999999999,-0.04452362,,3.21347,3.497472,,2.46279,3.1875877,,0.0691,0.41275096,,3.11353,2.8574436,,2.21786,2.5016725,,2.2023,1.3310484,,2.2751,1.8976605,,0.095,0.6160382,,2.4086,2.1978855,,1.8356999999999999,1.9548665,
