Ti,Nb,Al,Ge,Co,Au,Pd,Ni,Zn,Ga,Mo,Cu,Pt,Sn,Cr,Mn,Mg,Si,Fe,Ru,Rh,Hf,Ta,W,Re,Ir,Bi,Ef,Mag,AHC,condu,AHA
0,0,5,0,18,0,0,6.5,26,0,0,0,0,0,0,0,0,0,36.5,0,0,0,0,0,0,8,0,-0.00416825,1.2045,0.000577524,0.013831404,0.041754547
0,0,3.5,0,11,0,0,13,31.5,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,5,0,-0.00317012,1.0946,0.000498869,0.015851982,0.03147045
0,0,5.5,0,19,0,0,6,24.5,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,7,0,-0.00396894,1.2495,0.000555631,0.014602794,0.038049636
0,0,5.5,0,18,0,0,6,25,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,8.5,0,-0.004128875,1.2167,0.000502248,0.013497093,0.037211569
0,0,4.5,0,17,0,0,7.5,28.5,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,6.5,0,-0.003904775,1.1703,0.000575421,0.014754334,0.039000133
0,0,5.5,0,13.5,0,0,10.5,28,0,0,0,0,0,0,0,0,0,36.5,0,0,0,0,0,0,6,0,-0.00307969,1.1367,0.000515111,0.014766404,0.034883984
0,0,5,0,14,0,0,10,28,0,0,0,0,0,0,0,0,0,36.5,0,0,0,0,0,0,6.5,0,-0.003414535,1.1474,0.000441287,0.014541966,0.030345759
0,0,0,0,42,0,0,10.5,26,0,0,0,0,0,0,5,0,0,7.5,0,0,0,0,0,0,9,0,-0.00697327,1.0448,0.00057734,0.014357088,0.040212889
0,0,5,0,16.5,0,0,8,26,0,0,0,0,0,0,0,0,0,36.5,0,0,0,0,0,0,8,0,-0.0039922,1.1888,0.000565521,0.013772542,0.041061484
0,0,0,0,42,0,0,11.5,26,0,0,0,0,0,0,6.5,0,0,6.5,0,0,0,0,0,0,7.5,0,-0.00639555,1.06,0.000493338,0.014975431,0.032943159
0,0,0,0,39,0,0,12.5,26.5,0,0,0,0,0,0,5.5,0,0,8.5,0,0,0,0,0,0,8,0,-0.006331405,1.0421,0.000496449,0.014555191,0.034108038
0,0,6,0,10.5,0,0,13.5,25.5,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,8.5,0,-0.002949475,1.109,0.000521097,0.013053536,0.039919988
0,0,0,0,42,0,0,10.5,26.5,0,0,0,0,0,0,4.5,0,0,7.5,0,0,0,0,0,0,9,0,-0.006904685,1.0292,0.000570222,0.014445296,0.039474579
0,0,4,0,17.5,0,0,6.5,28.5,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,7.5,0,-0.004378765,1.1816,0.000551669,0.01416556,0.038944384
0,0,0,0,42,0,0,11,24.5,0,0,0,0,0,0,8,0,0,6.5,0,0,0,0,0,0,8,0,-0.00685545,1.1056,0.000521842,0.014302938,0.036484952
0,0,5,0,11,0,0,13,26.5,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,8.5,0,-0.003400285,1.1174,0.000538685,0.013205004,0.040794005
0,0,3.5,0,15.5,0,0,8.5,30,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,6.5,0,-0.004104565,1.1542,0.00054274,0.01484193,0.036568021
0,0,0,0,45.5,0,0,11.5,29,0,0,0,0,0,0,1.5,0,0,3,0,0,0,0,0,0,9.5,0,-0.00688608,0.8818,0.000262371,0.014904932,0.017602965
0,0,0,0,42.5,0,0,10,25,0,0,0,0,0,0,7.5,0,0,7,0,0,0,0,0,0,8,0,-0.006871805,1.1058,0.000504562,0.014416422,0.034999114
0,0,4.5,0,15.5,0,0,8.5,29.5,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,6,0,-0.00365234,1.1472,0.000532581,0.014994077,0.035519425
