Ti,Nb,Al,Ge,Co,Au,Pd,Ni,Zn,Ga,Mo,Cu,Pt,Sn,Cr,Mn,Mg,Si,Fe,Ru,Rh,Hf,Ta,W,Re,Ir,Bi,Ef,Mag,AHC,condu,AHA
0,0,0,0,1.5,0,0,0.5,7,0,0,0,24,0,0,0,0,0,57.5,0,0,0,0,0,0,9.5,0,0.008650175,1.739,0.0010338,0.014450675,0.07153991
0,0,0,0,1,0,0,0.5,8.5,0,0,0,18.5,0,0,0,0,0,62.5,0,0,0,0,0,0,9,0,0.007352945,1.8235,0.00109637,0.015181563,0.072217203
0,0,0,0,1,0,0,0.5,7,0,0,0,23,0,0,0,0,0,58.5,0,0,0,0,0,0,10,0,0.0086811,1.7545,0.00105311,0.014343709,0.073419643
0,0,0,0,1.5,0,0,0.5,6.5,0,0,0,25,0,0,0,0,0,57.5,0,0,0,0,0,0,9,0,0.0087017,1.7428,0.00106352,0.014681237,0.07244076
0,0,0,0,0.5,0,0,0.5,6.5,0,0,0,21.5,0,0,0,0,0,61.5,0,0,0,0,0,0,9.5,0,0.00838219,1.8159,0.00109501,0.014896757,0.073506601
0,0,0,0,1.5,0,0,0.5,7,0,0,0,0,0,0,0,0,9,70.5,0,0,0,0,0,0,11.5,0,0.001958365,1.8831,0.000857445,0.011795648,0.072691638
0,0,0,0,1.5,0,0,0.5,7.5,0,0,0,23,0,0,0,0,0,57.5,0,0,0,0,0,0,10,0,0.00860365,1.7352,0.00104285,0.014227042,0.073300549
0,0,0,0,1.5,0,0,0.5,9,0,0,0,0,0,0,0,0,10.5,66.5,0,0,0,0,0,0,12,0,0.002665055,1.7873,0.000782554,0.010924433,0.071633373
0,0,0,0,1,0,0,0.5,6.5,0,0,0,24,0,0,0,0,0,58,0,0,0,0,0,0,10,0,0.00894618,1.7476,0.00104978,0.014349846,0.073156187
0,0,0,0,1.5,0,0,1,16,0,0,0,10.5,0,0,0,0,0,57.5,0,0,0,0,0,0,13.5,0,0.007054,1.6604,0.00101274,0.01242696,0.081495395
0,0,0,0,1,0,0,0.5,8,0,0,0,0,0,0,0,0,8.5,70,0,0,0,0,0,0,12,0,0.002308415,1.8653,0.000867233,0.011636251,0.074528557
0,0,0,0,1,0,0,0.5,8,0,0,0,0,0,0,0,0,8,71,0,0,0,0,0,0,11.5,0,0.002180535,1.8842,0.000885948,0.011964241,0.074049663
0,0,0,0,0.5,0,0,0.5,10,0,0,0,16.5,0,0,0,0,0,59,0,0,0,0,0,0,13.5,0,0.00852881,1.7349,0.00101806,0.01296686,0.078512455
0,0,0,0,0.5,0,0,0.5,6,0,0,0,22.5,0,0,0,0,0,61.5,0,0,0,0,0,0,9,0,0.008434715,1.8201,0.00110184,0.015152057,0.072718838
0,0,0,0,1.5,0,0,1.5,17,0,0,0,0,0,0,0,9,0,57.5,0,0,0,0,0,0,13.5,0,0.008322505,1.587,0.000931832,0.011812367,0.078886137
0,0,0,0,0.5,0,0,0.5,11,0,0,0,14.5,0,0,0,0,0,62,0,0,0,0,0,0,11.5,0,0.00731543,1.7846,0.000990248,0.013749018,0.072023179
0,0,0,0,1,0,0,0.5,8,0,0,0,0,0,0,0,0,7,71.5,0,0,0,0,0,0,12,0,0.00243044,1.9017,0.000925388,0.012115613,0.076379792
0,0,0,0,0.5,0,0,0.5,6.5,0,0,0,22.5,0,0,0,0,0,59,0,0,0,0,0,0,11,0,0.009134725,1.7632,0.00104335,0.014109087,0.073948798
0,0,0,0,1.5,0,0,0.5,8.5,0,0,0,0,0,0,0,0,8.5,69.5,0,0,0,0,0,0,11.5,0,0.00229241,1.856,0.000854129,0.011736132,0.072777725
0,0,0,0,1,0,0,0.5,7,0,0,0,23.5,0,0,0,0,0,58,0,0,0,0,0,0,10,0,0.008728035,1.7437,0.00103052,0.01428606,0.072134653
