,Ti,Nb,Al,Ge,Co,Au,Pd,Ni,Zn,Ga,Mo,Cu,Pt,Sn,Cr,Mn,Mg,Si,Fe,Ru,Rh,Hf,Ta,W,Re,Ir,Bi
0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5,7.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0
1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,8.5,0.0,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,7.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,58.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
3,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5,6.5,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,6.5,0.0,0.0,0.0,21.5,0.0,0.0,0.0,0.0,0.0,61.5,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0
5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,70.5,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0
6,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5,7.5,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
7,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,66.5,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,6.5,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
9,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.0,16.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0
10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,70.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0
12,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,10.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0
13,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,6.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,61.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
14,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0
15,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,11.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0
16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,71.5,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
17,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,6.5,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
18,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,69.5,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0
19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,7.0,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
