,0,ground truth,pred,R2&MAE,ground truth.1,pred.1,R2&MAE.1,ground truth.2,pred.2,R2&MAE.2,ground truth.3,pred.3,R2&MAE.3,ground truth.4,pred.4,R2&MAE.4,ground truth.5,pred.5,R2&MAE.5,ground truth.6,pred.6,R2&MAE.6,ground truth.7,pred.7,R2&MAE.7,ground truth.8,pred.8,R2&MAE.8,ground truth.9,pred.9,R2&MAE.9,ground truth.10,pred.10,R2&MAE.10,ground truth.11,pred.11,R2&MAE.11,ground truth.12,pred.12,R2&MAE.12,ground truth.13,pred.13,R2&MAE.13,ground truth,pred,R2&MAE
0,,0.2736021,0.28683624,0.99337,0.22956795,0.10833356,0.91872,1.63435505,1.7296973,0.98881,0.0343298,0.05698929,0.97716,0.1351465,0.33900154,0.95617,3.21768,3.4908702,0.96698,3.26648,2.761515,0.88965,6.650449999999999,7.59409,0.9556,5.2072,5.506139,0.94915,9.2258,6.230194,0.90098,3.5511433,2.8267603,0.85202,4.5430829,5.343916,0.8509,6.0145347000000005,5.886939,0.90068,4.2546469,4.692741,0.87477,3.0580167,3.3919928,0.83582
1,,0.03630555,0.103327766,0.0675425329634256,0.1950705499999999,0.14052135,0.2239617862015259,0.2049640499999999,0.23083298,0.1041507294338326,0.5446459499999999,0.3022507,0.0337778217062387,0.1750591,0.107322,0.0914000552333832,3.1827500000000004,3.1286004,0.4547073611450196,4.86446,3.3490577,0.7563683281101323,3.5590300000000004,4.786671,0.5245415230078445,9.67359,5.7382274,0.6782661478267572,3.76504,4.72617,0.8453021013328356,2.4773842,2.3884287,0.555710892871172,2.3751885,2.9896352,0.6752691101441212,3.0207052,3.2171235,0.6020816652882024,3.052762,2.6100674,0.5430203184614916,3.2188006999999996,3.1293213,0.6567990236888787
2,,0.21255185,0.21765666,,0.22766625,0.22480193,,0.04886265,0.07705186,,0.0297200499999999,0.049010187,,0.1034163999999999,0.15455137,,4.410880000000001,4.7633343,,6.64345,6.333711,,2.77195,2.3552554,,2.89374,3.6667235,,5.89883,3.4631674,,5.9721385,4.3478928,,3.1907205000000003,3.5994167,,1.3840304,2.3263443,,2.2817496,1.9673829,,6.1369782,4.3492928,
3,,0.1786307,0.0908729,,0.07282765,0.036699027,,0.1122917,0.1428055,,0.11652265,0.104304604,,0.1612221,0.09188204,,9.21428,9.182928,,11.2488,10.791293,,11.69857,8.26924,,11.2322,8.142833,,2.31556,4.3904324,,5.778586,5.8456798,,6.7653519,6.3565955,,5.7116028,5.420789,,5.3592377,4.6245904,,2.498314,2.946362,
4,,0.0807895,0.027094318,,2.5620034,3.352832,,0.1263322,0.11518408,,0.1701337,0.17230067,,0.05285985,0.2555092,,8.95175,9.956254,,3.5760300000000003,3.3444176,,2.96549,3.9692578,,9.74745,9.122453,,2.97745,3.275152,,5.5193001,5.5380473,,5.4496482,4.7663536,,1.0849803999999998,1.7307261,,5.9093355,5.691583,,0.8526443,2.4897888,
5,,0.31996505,0.26456946,,0.18564835,0.071852505,,0.0644311,0.048624396,,0.32646305,0.31489238,,0.1668138499999999,0.16536207,,3.43275,3.5603886,,4.85948,4.6729155,,11.1053,10.952062,,4.2734700000000005,3.7945824,,9.59836,9.954169,,2.5771627,2.5544791,,3.6756969,3.1527035,,6.4980544,6.333722,,3.2533187,3.3008747,,5.8983424,6.280276,
6,,0.18499915,0.21593244,,0.0664424,0.1736924,,0.27125515,0.31166762,,0.1727218499999999,0.16275749,,0.1789254499999999,0.19817981,,3.34085,3.7174914,,2.49789,3.0596716,,2.8801500000000004,3.3303628,,9.55797,8.895917,,9.24057,9.732912,,2.9255425,3.0810037,,3.1766372,4.355162,,2.257139,2.897725,,5.8444387,5.7385125,,5.781698100000001,6.3219943,
7,,0.1326603,-0.0015098024,,-0.0647118,-0.095090955,,0.38544885,0.4673357,,0.384965,0.35185072,,0.0948982999999999,0.19844103,,3.99966,5.193906,,2.85122,2.8497066,,3.34286,3.3757203,,3.78611,4.2501273,,3.53543,3.7803655,,2.6450051,3.3492146,,1.6094127,2.188423,,3.5010919,3.004294,,3.7190431,4.2000365,,2.5667045,2.8508074,
8,,0.28644675,0.2894125,,0.1787137,0.13927841,,0.108177,0.109976485,,1.05947955,1.0182649,,0.3280479,0.29527307,,2.51296,3.182193,,9.08348,8.701921,,3.5987600000000004,3.1083653,,5.12835,4.3456006,,5.46818,4.7875466,,2.4127834,3.105557,,5.6959525,5.7574496,,1.3018481,2.0058408,,3.7536631,3.440465,,6.9846563,4.6701784,
9,,0.1767705,0.08425242,,0.1326621,0.089497715,,-0.0208061,-0.028076127,,0.17903375,0.1698432,,0.2248870999999999,0.35410422,,9.11512,9.132174,,5.63092,5.9166837,,2.6455100000000003,3.6330838,,9.1111,8.634915,,4.13705,5.4568615,,5.672560799999999,5.847987,,3.920552,4.0273604,,3.5479764,3.5081089,,5.720844,5.723923,,3.1322181,3.3777375,
10,,0.0456265999999999,0.10721396,,0.3837386,0.31744066,,0.0241233,0.115875736,,0.627867,0.54691106,,0.1673687,0.18720086,,3.75248,3.8258264,,4.04162,3.647147,,3.01576,3.1129336,,6.09746,5.552133,,9.9363,10.059107,,1.0692998,3.008192,,3.1356866999999995,3.3066902,,2.2534334,2.3436794,,3.9851713,3.8616269,,5.9644964,6.1325836,
11,,0.20866485,0.18825562,,0.1200745999999999,0.07517925,,0.6475996500000001,0.2830212,,0.17523165,0.17006668,,2.4127013,1.6802032,,3.41152,4.283036,,0.347,4.079148,,3.47126,3.0898015,,9.19963,8.748034,,2.28925,4.410413,,2.7785523,3.081716,,0.2955049999999999,2.3695588,,3.4961153,3.9131365,,5.7456238,5.735776,,2.5922128,3.8010736,
12,,0.26038575,0.24396172,,0.13714965,0.049011856,,0.09544715,0.23393895,,0.069042,0.058149837,,0.1291652,0.11661818,,3.11453,3.2451308,,3.5678400000000003,2.818711,,3.4598,4.0675697,,11.3543,10.555416,,4.95998,3.8838484,,2.5628946,3.1404834,,2.929988,2.6114852,,2.6210977,3.3982635,,6.617295800000001,6.5658073,,2.7425884000000003,2.8800948,
13,,0.0783972,0.1982802,,0.17971335,0.14294547,,0.07113345,0.048161432,,0.05522725,0.03984692,,0.13553105,0.09282244,,4.04392,4.0135593,,8.95204,8.497302,,10.8716,11.136173,,10.8697,10.245718,,5.52525,4.1105347,,4.3347854,3.3819652,,5.6280133,5.5837917,,6.3484753000000005,6.4188643,,6.4364591,6.449346,,4.4096283,3.0543284,
14,,0.05057275,0.16133343,,0.1821475,0.00023323298,,0.0512166,0.26500338,,0.1147683499999999,0.14761579,,0.2021874,0.089516826,,2.7288900000000003,3.2260194,,4.0328,3.8665109,,2.38439,2.5663326,,2.17948,3.0860987,,2.58861,3.2524655,,2.5689809,2.4730828,,5.2216744,3.53501,,2.9594866,2.6496887,,1.5301176,1.4355514,,2.5146627,2.8887339,
15,,0.05727015,0.10584198,,0.16942625,0.13652173,,3.30719065,3.5863338,,0.0717603,0.04358741,,0.26344575,0.29996946,,4.46452,4.3113575,,9.73905,9.245397,,5.06218,5.6741276,,11.2086,10.590721,,3.4174900000000004,3.6154778,,5.121026,3.9695327,,5.8782043,5.931244,,7.3915443,6.288414,,6.7464704,6.552915,,2.8670312,2.5661035,
16,,0.7535024499999999,0.74022883,,0.1709569999999999,0.14142635,,0.2014558,0.3311705,,0.1581054,0.17213875,,0.33433195,0.47333187,,2.44793,3.5074012,,9.66918,9.302665,,4.20966,3.9849842,,3.68939,4.039726,,2.39151,3.6803799,,2.8420418,2.6686866,,5.8931864,5.905841,,3.0440371,2.7653794,,4.4289396000000005,3.5401478,,2.4970286,2.9029324,
17,,0.1451215,0.09363671,,0.1900473499999999,1.9146858,,3.9201118,3.6553276,,0.1142411999999999,0.13422325,,0.3219131,0.30818254,,2.19803,1.8436073,,6.62913,2.7722547,,3.64609,3.5923946,,4.71867,5.4121375,,4.265350000000001,3.589658,,2.3850666,2.854556,,5.1476408000000005,3.4605663,,4.642913,4.059727,,2.9966251,2.9514303,,3.0254417,2.612204,
18,,0.0260672,0.0936908,,0.2133092,0.0035710037,,0.2042729,0.33940774,,0.3733436,0.32333,,0.1227497999999999,0.24041997,,7.36427,5.7469096,,3.3126,4.2358165,,4.31188,3.9933512,,4.49043,4.6703916,,9.01034,6.9185705,,4.4302581,4.1848183,,2.464551,3.3930876,,2.2507494,2.1770806,,3.5091368,3.3536403,,6.0554736,4.934277,
